Fecha,Hora,Latitud,Longitud,Genero,Edad,Arma,Barrio,Id Barrio,Id Comuna,Categoria
2017-01-04,18:30:00,6.26500096,-75.56452241,Hombre,24,Arma de fuego,Sevilla,#0407,4,Tecnología
2017-01-04,17:00:00,6.20326723,-75.5593313,Hombre,52,Arma de fuego,El Tesoro,#1409,14,Elementos escolares
2017-01-04,18:30:00,6.26500096,-75.56452241,Hombre,24,Arma de fuego,Sevilla,#0407,4,Tecnología
2017-01-04,10:00:00,6.23510516,-75.59638182,Mujer,40,Arma de fuego,Belén,#1603,16,Tecnología
2017-01-04,17:30:00,6.24534277,-75.58368411,Mujer,40,Arma de fuego,Los Conquistadores,#1105,11,"Dinero, joyas, piedras preciosas y título valor"
2017-01-04,16:00:00,6.25415478,-75.5631974,Hombre,51,Arma de fuego,Villa Nueva,#1018,10,Tecnología
2017-01-04,17:00:00,6.20326723,-75.5593313,Hombre,52,Arma de fuego,El Tesoro,#1409,14,"Dinero, joyas, piedras preciosas y título valor"
2017-01-04,12:30:00,6.26714599,-75.56578587,Mujer,28,No,Sevilla,#0407,4,Prendas de vestir y accesorios
2017-01-04,18:30:00,6.25870871,-75.56055274,Hombre,22,Arma cortopunzante,Prado,#1001,10,Tecnología
2017-01-04,17:10:00,6.2521471,-75.57170536,Hombre,37,Arma de fuego,San Benito,#1006,10,Tecnología
2017-01-04,16:00:00,6.30771158,-75.57763841,Mujer,53,No,Doce de Octubre No.1,#0602,6,Tecnología
2017-01-04,17:10:00,6.2521471,-75.57170536,Hombre,37,Arma de fuego,San Benito,#1006,10,Prendas de vestir y accesorios
2017-01-04,17:00:00,6.20326723,-75.5593313,Hombre,52,Arma de fuego,El Tesoro,#1409,14,Prendas de vestir y accesorios
2017-01-04,00:00:00,6.27633112,-75.5969733,Mujer,36,Arma de fuego,Robledo,#0717,7,Prendas de vestir y accesorios
2017-01-04,17:00:00,6.20326723,-75.5593313,Hombre,52,Arma de fuego,El Tesoro,#1409,14,"Dinero, joyas, piedras preciosas y título valor"
2017-01-04,13:30:00,6.24740914,-75.59383359,Hombre,47,Arma de fuego,Laureles,#1108,11,Alimento
2017-01-04,20:15:00,6.24074873,-75.60742166,Hombre,42,Arma de fuego,La Castellana,#1110,11,Tecnología
2017-01-04,00:37:00,6.24397819,-75.56050918,Mujer,40,Arma de fuego,Bomboná No.1,#1015,10,Tecnología
2017-01-04,16:15:00,6.25740226,-75.56520905,Mujer,32,Arma cortopunzante,Prado,#1001,10,"Dinero, joyas, piedras preciosas y título valor"
2017-01-04,21:20:00,6.25128056,-75.5832335,Hombre,20,Arma cortopunzante,Naranjal,#1103,11,Tecnología
2017-01-04,16:15:00,6.25740226,-75.56520905,Mujer,32,Arma cortopunzante,Prado,#1001,10,Tecnología
2017-01-04,17:00:00,6.20326723,-75.5593313,Hombre,52,Arma de fuego,El Tesoro,#1409,14,Prendas de vestir y accesorios
2017-01-04,00:00:00,6.23185648,-75.59159936,Hombre,45,No,Rosales,#1602,16,Tecnología
2017-01-04,11:00:00,6.27368966,-75.55905712,Hombre,36,Arma de fuego,Brasilia,#0414,4,Tecnología
2017-01-04,00:37:00,6.24397819,-75.56050918,Mujer,40,Arma de fuego,Bomboná No.1,#1015,10,Prendas de vestir y accesorios
2017-01-04,18:30:00,6.25870871,-75.56055274,Hombre,22,Arma cortopunzante,Prado,#1001,10,"Dinero, joyas, piedras preciosas y título valor"
2017-01-04,11:30:00,6.29218899,-75.57932179,Hombre,54,Objeto contundente,San Martín de Porres,#0606,6,"Dinero, joyas, piedras preciosas y título valor"
2017-01-04,10:00:00,6.18234788,-75.56287753,Hombre,47,No,San Lucas,#1412,14,Autoparte y elementos de la mecánica automotriz
2017-01-04,20:30:00,6.23242252,-75.59145091,Hombre,36,No,Rosales,#1602,16,Otros elementos
2017-01-04,17:10:00,6.2521471,-75.57170536,Hombre,37,Arma de fuego,San Benito,#1006,10,Prendas de vestir y accesorios
2017-01-04,00:00:00,6.27468177,-75.56019332,Hombre,45,No,Brasilia,#0414,4,Herramientas
2017-01-04,16:30:00,6.28289879,-75.5859774,Hombre,33,Arma cortopunzante,El Diamante,#0711,7,Tecnología
2017-01-04,19:30:00,6.25770621,-75.5911031,Hombre,28,No,U.D. Atanasio Girardot,#Inst_14,11,Elementos escolares
2017-01-04,00:00:00,6.22954476,-75.60839262,Mujer,48,No,Los Alpes,#1615,16,Prendas de vestir y accesorios
2017-01-04,07:00:00,6.22884084,-75.57912116,Hombre,25,No,Trinidad,#1503,15,Otros elementos
2017-01-04,17:00:00,6.26079369,-75.60415473,Hombre,35,Arma de fuego,Los Alcázares,#1304,13,"Dinero, joyas, piedras preciosas y título valor"
2017-01-04,18:00:00,6.22582271,-75.5758403,Mujer,30,No,Villa Carlota,#1403,14,Tecnología
2017-01-04,12:35:00,6.24635329,-75.56733336,Mujer,27,Arma cortopunzante,Barrio Colón,#1013,10,Tecnología
2017-01-04,05:30:00,6.23489347,-75.5609363,Hombre,32,No,El Salvador,#0912,9,Electrodomésticos
2017-01-04,15:47:00,6.29907797,-75.56339753,Hombre,47,No,Plaza de Ferias,#Inst_1,5,"Dinero, joyas, piedras preciosas y título valor"
2017-01-04,16:00:00,6.25323226,-75.58149543,Mujer,26,Arma cortopunzante,Suramericana,#1102,11,Vehículos de 2 o 4 ruedas
2017-01-04,17:22:00,6.26904289,-75.56538072,Hombre,28,No,Sevilla,#0407,4,Tecnología
2017-01-04,20:30:00,6.2497448,-75.56552019,Mujer,24,Arma cortopunzante,La Candelaria,#1019,10,Tecnología
2017-01-04,20:10:00,6.21183976,-75.57341125,Mujer,41,No,Manila,#1419,14,Tecnología
2017-01-05,14:30:00,6.24931738,-75.57272568,Hombre,28,Arma de fuego,Guayaquil,#1007,10,"Dinero, joyas, piedras preciosas y título valor"
2017-01-05,19:35:00,6.24979566,-75.56804931,Mujer,33,Arma cortopunzante,La Candelaria,#1019,10,Tecnología
2017-01-05,17:00:00,6.24762362,-75.57059444,Mujer,46,No,La Candelaria,#1019,10,Elementos escolares
2017-01-05,12:30:00,6.24896313,-75.56468277,Mujer,20,No,La Candelaria,#1019,10,"Dinero, joyas, piedras preciosas y título valor"
2017-01-05,15:45:00,6.233235,-75.59312549,Mujer,25,Arma de fuego,Rosales,#1602,16,Prendas de vestir y accesorios
2017-01-05,23:35:00,6.23451485,-75.5915108,Hombre,30,Arma de fuego,Rosales,#1602,16,Tecnología
2017-01-05,00:00:00,6.24047677,-75.578545,Hombre,38,No,Los Conquistadores,#1105,11,"Dinero, joyas, piedras preciosas y título valor"
2017-01-05,00:00:00,6.24047677,-75.578545,Hombre,38,No,Los Conquistadores,#1105,11,Prendas de vestir y accesorios
2017-01-05,23:35:00,6.23451485,-75.5915108,Hombre,30,Arma de fuego,Rosales,#1602,16,"Dinero, joyas, piedras preciosas y título valor"
2017-01-05,17:35:00,6.25119258,-75.56803611,Hombre,37,No,La Candelaria,#1019,10,Tecnología
2017-01-05,22:00:00,6.25293898,-75.5624732,Hombre,42,No,Villa Nueva,#1018,10,Documentos
2017-01-05,17:00:00,6.24669377,-75.5682142,Hombre,59,No,Barrio Colón,#1013,10,Otros elementos
2017-01-05,08:00:00,6.2495075,-75.56795028,Mujer,44,No,La Candelaria,#1019,10,"Dinero, joyas, piedras preciosas y título valor"
2017-01-05,12:40:00,6.25457605,-75.56717243,Hombre,25,No,Estación Villa,#1005,10,Tecnología
2017-01-05,13:00:00,6.24937071,-75.55893912,Mujer,19,No,Boston,#1016,10,Electrodomésticos
2017-01-05,12:30:00,6.24896313,-75.56468277,Mujer,20,No,La Candelaria,#1019,10,Tecnología
2017-01-05,17:00:00,6.24762362,-75.57059444,Mujer,46,No,La Candelaria,#1019,10,"Dinero, joyas, piedras preciosas y título valor"
2017-01-05,10:45:00,6.2538615,-75.56305792,Hombre,25,Arma cortopunzante,Villa Nueva,#1018,10,Tecnología
2017-01-05,21:20:00,6.28071258,-75.57456728,Mujer,44,No,Córdoba,#0709,7,Tecnología
2017-01-05,11:35:00,6.20927577,-75.57001865,Mujer,27,No,El Poblado,#1418,14,Tecnología
2017-01-05,21:20:00,6.28071258,-75.57456728,Mujer,44,No,Córdoba,#0709,7,"Dinero, joyas, piedras preciosas y título valor"
2017-01-05,22:00:00,6.25293898,-75.5624732,Hombre,42,No,Villa Nueva,#1018,10,Prendas de vestir y accesorios
2017-01-05,16:00:00,6.27460982,-75.56245711,Mujer,32,Arma de fuego,Miranda,#0415,4,Documentos
2017-01-05,16:00:00,6.27460982,-75.56245711,Mujer,32,Arma de fuego,Miranda,#0415,4,Tecnología
2017-01-05,12:40:00,6.25457605,-75.56717243,Hombre,25,No,Estación Villa,#1005,10,"Dinero, joyas, piedras preciosas y título valor"
2017-01-05,09:58:00,6.23717928,-75.55669143,Hombre,29,Objeto contundente,Gerona,#0911,9,Otros elementos
2017-01-05,08:00:00,6.25193854,-75.56432137,Hombre,45,No,Villa Nueva,#1018,10,"Dinero, joyas, piedras preciosas y título valor"
2017-01-05,18:30:00,6.2099519,-75.57350244,Mujer,38,Arma cortopunzante,Astorga,#1420,14,Tecnología
2017-01-05,16:00:00,6.2318405,-75.54042008,Mujer,24,No,Los Cerros el Vergel,#0904,9,Tecnología
2017-01-05,20:00:00,6.19750467,-75.55340733,Mujer,40,No,Los Naranjos,#1410,14,"Dinero, joyas, piedras preciosas y título valor"
2017-01-05,17:00:00,6.30166265,-75.55415841,Mujer,42,No,La Francia,#0205,2,Tecnología
2017-01-05,23:00:00,6.25726362,-75.56137455,Mujer,53,Arma cortopunzante,Prado,#1001,10,Tecnología
2017-01-05,07:45:00,6.25295497,-75.56285407,Mujer,36,Arma cortopunzante,Villa Nueva,#1018,10,Tecnología
2017-01-05,21:40:00,6.2559625,-75.59678402,Hombre,33,Arma de fuego,El Velódromo,#1112,11,Tecnología
2017-01-05,18:15:00,6.29170763,-75.58687656,Mujer,36,Arma de fuego,Aures No.2,#0712,7,"Dinero, joyas, piedras preciosas y título valor"
2017-01-05,15:00:00,6.24890596,-75.56353372,Mujer,60,No,La Candelaria,#1019,10,Prendas de vestir y accesorios
2017-01-05,11:00:00,6.24467664,-75.59305128,Hombre,48,Arma cortopunzante,Bolivariana,#1107,11,Tecnología
2017-01-05,20:00:00,6.26822956,-75.56658652,Mujer,6,Arma de fuego,Sevilla,#0407,4,Tecnología
